time_s,before_payload,after_payload,before_ms,after_ms
0.0,,,99.55,89.46
1.038,C,C,0.97,2.73
2.008,C,C,137.41,132.82
3.001,C,C,0.77,0.88
4.005,C,C,1.17,0.87
5.003,C,C,0.81,1.42
6.041,C,C,0.75,0.94
7.004,C,C,1.25,1.12
8.0,C,C,0.81,0.76
9.0,C,C,1.14,0.78
10.044,C,C,1.15,0.91
11.041,C,C,76.78,113.69
12.001,C,C,1.12,0.8
13.001,C,C,1.2,0.75
14.0,C,C,1.17,0.76
15.005,C,C,1.14,0.83
16.043,C,C,1.03,0.87
17.0,,C,84.96,85.02
18.001,,,94.52,124.22
19.041,,,67.56,100.29
20.011,,,65.13,84.97
21.003,,,65.68,70.04
22.004,,,68.11,87.54
23.005,,,71.97,75.21
24.001,,,65.75,71.79
25.016,,,74.39,66.74
26.001,,,79.97,68.9
27.036,,,67.5,70.64
28.003,C,C,74.94,60.6
29.004,C,C,1.09,0.65
30.007,C,C,1.42,0.79
31.005,C,C,0.93,0.79
32.0,C,C,1.17,0.72
33.037,C,C,1.32,0.79
34.012,C,C,75.0,58.12
35.001,,,74.57,66.19
36.001,,C,75.1,67.17
37.002,,,79.38,79.48
38.001,C,C,70.09,67.57
39.044000000000004,,,69.63,77.07
40.005,C,C,0.77,0.9
41.006,C,C,1.32,0.87
42.005,C,C,0.82,0.79
43.04,C,C,0.94,0.94
44.045,C,C,1.13,0.8
45.043,C,C,1.19,0.81
46.0,C,C,74.7,66.93
47.001,C,C,70.32,62.03
48.006,C,C,1.11,0.81
49.015,C,C,1.01,0.77
50.016,C,C,1.11,0.86
55.311,,,79.58,69.27
55.324,,,73.82,71.53
55.365,,,79.92,75.55
55.399,,,73.5,79.3
55.441,,,69.17,71.74
56.038000000000004,C,C,0.87,0.67
57.007,C,C,1.05,0.77
58.004,,,70.69,74.81
59.001000000000005,C,C,73.36,62.94
60.036,C,C,1.01,0.87
61.009,C,C,0.87,0.81
62.007,C,C,1.26,0.75
63.013,C,C,1.21,0.82
64.011,C,C,1.56,0.86
65.003,,,72.52,71.73
66.0,,,75.22,72.39
67.041,,,76.3,73.91
68.003,,,78.42,76.37
69.006,,,74.52,76.29
70.001,C,C,0.82,0.88
71.005,C,C,65.83,69.84
72.004,C,C,1.2,0.85
73.042,C,C,0.88,0.76
74.004,C,C,1.36,0.74
75.011,C,C,73.64,82.91
76.006,,,69.33,74.23
77.01,,,88.19,80.22
78.051,,,73.15,73.28
79.046,,,73.37,86.03
80.005,C,C,1.08,1.08
81.038,C,C,1.14,0.95
82.037,C,C,69.95,100.47
83.038,C,C,0.8,0.83
84.005,C,C,1.07,0.88
85.045,C,C,1.19,0.78
86.0,C,C,73.82,89.96
87.002,C,C,65.74,66.28
88.009,C,C,1.43,0.84
89.038,,,77.95,72.36
90.058,C,C,1.26,0.78
91.005,,,73.15,72.23
92.001,C,C,76.04,69.12
93.04,,,66.0,65.01
94.039,,,95.42,67.69
95.001,,,72.15,67.91
96.007,,,65.26,75.29
97.017,,,68.6,109.79
98.003,,,67.59,98.53
99.002,,,69.07,70.95
100.002,,,77.0,73.62
