sample,time_s,before,before_ms,after,after_ms
0,0.0,,62.051562999840826,,61.50857400098175
1,1.038,C,0.7282869992195629,C,0.5533490002562758
2,2.008,C,63.22879699837358,C,60.84973299948615
3,3.001,C,0.6790280003770022,C,0.6938759997865418
4,4.005,C,0.7139489989640424,C,0.6210139999893727
5,5.003,C,0.5802249997941544,C,0.497327000630321
6,6.041,C,0.6078700007492444,C,0.4824349998671096
7,7.004,C,0.6873659986013081,C,0.5976539996481733
8,8.0,C,0.5609870004263939,C,0.4939089994877577
9,9.0,C,0.6337330014503095,C,0.569621999602532
10,10.044,C,0.6189720006659627,C,0.5388059998949757
11,11.041,C,69.54299999961222,C,86.92418500140775
12,12.001,C,0.6154130005597835,C,0.5156250008440111
13,13.001,C,0.6224749995453749,C,0.5396809992816998
14,14.0,C,0.7051230004435638,C,0.5305319991748547
15,15.005,C,0.6626900012633996,C,0.5446859995572595
16,16.043,C,0.6909220010129502,C,0.5986249998386484
17,17.0,C,80.81964300072286,C,141.34907999869029
18,18.001,,79.88689899866586,C,113.93823700018402
19,19.041,,65.87824899906991,,156.3524539997161
20,20.011,,70.2133969989518,,132.35249300123542
21,21.003,,69.67458700091811,,135.74887799950375
22,22.004,,65.42758199975651,,140.03212799980247
23,23.005,,65.60452400117356,,147.06441499947687
24,24.001,,66.25128800078528,,173.89367499890795
25,25.016,,66.07355999949505,,158.86403399963456
26,26.001,,66.11251399954199,,187.5961770001595
27,27.036,,67.76651700056391,C,73.29676399967866
28,28.003,C,62.929428000643384,C,62.76076500034833
29,29.004,C,0.7601220004289644,C,0.7174029997258913
30,30.007,C,0.6335490015771938,C,0.604855998972198
31,31.005,C,0.6289199991442729,C,0.511381998876459
32,32.0,C,0.5296200015436625,C,0.46427400047832634
33,33.037,C,0.6575829993380466,C,0.6006399999023415
34,34.012,C,62.11012000130722,C,63.03450300038094
35,35.001,,66.12750200110895,,108.62280699984694
36,36.001,C,67.68337600078667,C,133.8278999992326
37,37.002,,66.92888500037952,,107.25519900006475
38,38.001,C,60.623355999268824,C,62.184768001316115
39,39.044000000000004,,67.49649099947419,,134.40496300063387
40,40.005,C,0.5846359999850392,C,0.4703169997810619
41,41.006,C,0.638655999864568,C,0.560337999559124
42,42.005,C,0.5308390009304276,C,0.44245300159673207
43,43.04,C,0.6744540005456656,C,0.6011660007061437
44,44.045,C,0.5597320014203433,C,0.49657500130706467
45,45.043,C,0.5461660002765711,C,0.474010999823804
46,46.0,C,62.6821480000217,C,64.44502199883573
47,47.001,C,62.266457000077935,C,61.697078999713995
48,48.006,C,0.5159190004633274,C,0.43218600148975383
49,49.015,C,0.530634000824648,C,0.4508080000960035
50,50.016,C,0.5850710003869608,C,0.5112480012030574
51,55.311,,66.60481600010826,,143.19054000043252
52,55.324,,68.05878399973153,,143.76541599995107
53,55.365,,68.21836000017356,,145.2797139991162
54,55.399,,66.60618000023533,,146.26183600012155
55,55.441,,68.18901899896446,,149.06455500022275
56,56.038000000000004,C,0.509605000843294,C,0.4218659996695351
57,57.007,C,0.48407999929622747,C,0.4307390008762013
58,58.004,,68.00305000069784,,154.56404799988377
59,59.001000000000005,C,61.020037001071614,C,65.00597400008701
60,60.036,C,0.6000810008117696,C,0.5642549986077938
61,61.009,C,0.6424259991035797,C,0.5059220002294751
62,62.007,C,0.5709260003641248,C,0.480586000776384
63,63.013,C,0.610421000601491,C,0.5440090008050902
64,64.011,C,0.6285790004767478,C,0.5918639999435982
65,65.003,,69.69295500130102,,148.79041700078233
66,66.0,,73.78045299992664,,151.8753899999865
67,67.041,,71.36348300082318,C,74.34565000039584
68,68.003,,71.27753299937467,C,93.99387200028286
69,69.006,,70.88131499949668,,150.72290299940505
70,70.001,C,0.5848750006407499,C,0.5298479991324712
71,71.005,C,64.84833899958176,C,73.97831100024632
72,72.004,C,0.7068949998938479,C,0.6567689997609705
73,73.042,C,0.6280249999690568,C,0.5242979987087892
74,74.004,C,0.6103229989093961,C,0.5241210001258878
75,75.011,C,75.24065300094662,C,80.41253199917264
76,76.006,,85.26545800123131,C,82.74559100027545
77,77.01,,91.33526199912012,C,175.5775839992566
78,78.051,,79.8540640007559,,175.90355399988766
79,79.046,,81.14118399862491,C,86.69125099913799
80,80.005,C,0.636713999483618,C,0.6030750009813346
81,81.038,C,0.6716629995935364,C,0.6073639997339342
82,82.037,C,78.26692300113791,C,78.39268399948196
83,83.038,C,0.7287839998753043,C,0.6571529993379954
84,84.005,C,0.7298259988601785,C,0.6482549997599563
85,85.045,C,0.7164430007833289,C,0.6532620009238599
86,86.0,C,73.39636699907715,C,76.27140499971574
87,87.002,C,77.62618000015209,C,78.87269700040633
88,88.009,C,0.8629769999970449,C,0.7502330008719582
89,89.038,,86.91078400079277,C,82.04529700014973
90,90.058,C,0.8866110001690686,C,0.6924510016688146
91,91.005,,86.02177700049651,,229.0430560005916
92,92.001,C,68.14202799978375,C,74.45616599943605
93,93.04,,80.95313500052725,,81.29809999991267
94,94.039,,81.25057100005506,,80.85528800074826
95,95.001,,84.04770200104394,,84.42929299962998
96,96.007,,80.36679999895568,,80.87021999926947
97,97.017,,80.01055800014001,,79.92139199996018
98,98.003,,79.4188870004291,,81.32469800148101
99,99.002,,129.10266500148282,,151.98717400016903
100,100.002,,113.47866799951589,,89.1922529990552
101,101.003,,82.1206489999895,,86.57348599990655
102,102.008,,89.31207099885796,,86.26389799974277
103,103.052,,95.69091100092919,,174.15339299986954
104,104.036,,76.91985799829126,,285.6710859996383
105,105.038,C,68.44968299992615,C,77.01150399952894
106,106.044,C,76.73738399898866,C,77.13815799979784
107,107.002,C,77.71716199931689,C,77.99609099856752
108,108.0,C,0.8136799988278653,C,0.7449380009347806
109,109.001,C,0.76063499909651,C,0.7191219992819242
110,110.037,,85.79217700025765,,180.75168399991526
111,111.039,,78.3177989997057,,162.6686969993898
112,112.007,,73.52639500095393,,87.04031799970835
113,113.037,,81.05284500015841,,83.21315499961202
114,114.001,,90.21656000004441,,89.99438399951032
115,115.037,,86.17167199918185,,84.74644899979467
116,116.002,,92.9394080012571,,118.64490799962368
117,117.005,,79.35047499995562,,124.14192100004584
118,118.043,,80.40915299898188,,127.10723199961649
119,119.003,,77.07725500040397,,130.43924900011916
120,120.005,,81.17914000104065,,205.11457200154837
121,121.001,,93.11201400123537,,178.1667790000938
122,122.04,,74.0365669989842,,78.19503899918345
123,123.001,C,0.8341850007127505,C,0.7538689987995895
124,124.00200000000001,C,77.7464479997434,C,81.2865990010323
125,125.001,,86.17793200028245,,113.68082499939192
126,126.00500000000001,C,0.6929979990673019,C,0.6431480014725821
127,127.00200000000001,,77.52370399975916,,79.15508999940357
128,128.006,,77.74766399961663,,78.20969600106764
129,129.008,,80.6004940004641,,81.00663799996255
130,130.00300000000001,,83.63712199934525,,163.4653029996116
131,131.016,,78.65442900038033,C,153.80451599958178
132,132.037,,76.09322899952531,C,142.60186300089117
133,133.008,,74.69704100003582,,77.36777699938102
134,134.04,,79.42427600028168,,80.84759600023972
135,135.042,,79.40450199930638,,79.2086030014616
136,136.006,,79.1750949993002,,81.19768699907581
137,137.041,,79.48172299984435,,80.82843400006823
138,138.008,,83.37486100026581,,86.20541300115292
139,139.003,,78.63016400006018,,80.08619899919722
140,140.008,,79.19678800135443,,82.77787999941211
141,141.0,,80.21517800079891,,79.62566599962884
142,142.002,,80.10294500127202,,81.34380299998156
143,143.047,,78.74482000079297,,80.85499499975413
144,144.007,,78.57616000001144,,80.61005899980955
145,145.047,,79.96744000047329,,78.9543529990624
146,146.004,,80.90244500090193,,88.18668499952764
147,147.002,,77.60680399951525,,77.77515399902768
148,148.038,,78.5737030000746,,80.21045900022727
149,149.0,,83.42153900048288,,83.67638299932878
150,150.04500000000002,,79.76558699920133,,84.29080200039607
151,151.04500000000002,,81.15972899940971,,89.09837300052459
152,152.011,,82.16392400026962,,82.00015900001745
153,153.005,,80.9235090000584,,80.61091200033843
154,154.04,,79.0943519987195,,83.41740400101116
155,155.042,,77.73183300014352,,80.46036000087042
156,156.03900000000002,,79.91261399911309,,87.45409500079404
157,157.005,,82.92276700012735,,83.36070799850859
158,158.003,,130.61454299895559,,102.62133400101447
159,159.006,,98.39582399945357,,112.38907799997833
160,160.002,,82.50813500126242,,79.8159609985305
161,161.008,,79.43541800159437,,80.18997399994987
162,162.008,,78.63908800027275,,79.25851100117143
163,163.012,,79.57041300142009,,80.71209799891221
