path,depth_level,depth_value,module_px,qr_px,sample_idx,qr_id,payload_groundtruth,effects,red_gain,green_gain,blue_gain,black_point,white_point,haze_alpha,amp_x,amp_y,freq_x,freq_y,phase_x,phase_y,ksize,sigma,decode_raw_ok,decode_enhance_ok,decode_stage,decoded_data
shallow/qr_A_m4_shallow_000.png,shallow,0.25,4,116,0,A,HYDROSHIP-M5-A,backscatter|blur|color|ripple,0.709,1.0342,1.0997,29.3242,227.6891,0.1261,1.0679,0.7947,1.6145,1.8489,3.7329,4.2937,3,1.0974,True,True,raw,HYDROSHIP-M5-A
shallow/qr_A_m4_shallow_001.png,shallow,0.25,4,116,1,A,HYDROSHIP-M5-A,backscatter|blur|color|ripple,0.7236,0.9996,1.0012,27.04,217.4315,0.1293,1.0581,0.748,1.4931,1.8616,1.062,0.8952,3,0.9808,True,True,raw,HYDROSHIP-M5-A
shallow/qr_A_m4_shallow_002.png,shallow,0.25,4,116,2,A,HYDROSHIP-M5-A,backscatter|blur|color|ripple,0.7275,0.9576,1.0465,31.278,214.8386,0.1144,1.085,0.742,1.5736,1.8836,0.8892,1.8637,3,1.1006,True,True,raw,HYDROSHIP-M5-A
shallow/qr_A_m4_shallow_003.png,shallow,0.25,4,116,3,A,HYDROSHIP-M5-A,backscatter|blur|color|ripple,0.6923,0.9549,1.0536,28.1841,229.2007,0.1124,1.0845,0.7623,1.5937,1.8335,6.0053,3.5547,3,1.0315,True,True,raw,HYDROSHIP-M5-A
shallow/qr_A_m4_shallow_004.png,shallow,0.25,4,116,4,A,HYDROSHIP-M5-A,backscatter|blur|color|ripple,0.6624,1.0167,1.032,30.0203,233.4385,0.1116,1.0401,0.7634,1.4353,1.6756,3.0955,0.7768,3,1.0046,True,True,raw,HYDROSHIP-M5-A
shallow/qr_A_m4_shallow_005.png,shallow,0.25,4,116,5,A,HYDROSHIP-M5-A,backscatter|blur|color|ripple,0.6466,1.0054,1.0747,28.98,210.0393,0.1221,1.0796,0.7606,1.6154,1.7161,4.1158,3.1815,3,1.0006,True,True,raw,HYDROSHIP-M5-A
shallow/qr_A_m4_shallow_006.png,shallow,0.25,4,116,6,A,HYDROSHIP-M5-A,backscatter|blur|color|ripple,0.709,0.9686,1.1263,31.1664,221.6425,0.1116,0.9547,0.8365,1.5854,1.7593,0.3194,4.2735,3,1.0455,True,True,raw,HYDROSHIP-M5-A
shallow/qr_A_m4_shallow_007.png,shallow,0.25,4,116,7,A,HYDROSHIP-M5-A,backscatter|blur|color|ripple,0.718,1.0793,1.0398,30.1683,220.0151,0.1173,0.9795,0.7368,1.4343,1.9049,4.098,1.813,3,1.0263,True,True,raw,HYDROSHIP-M5-A
shallow/qr_A_m4_shallow_008.png,shallow,0.25,4,116,8,A,HYDROSHIP-M5-A,backscatter|blur|color|ripple,0.7294,0.9909,1.0888,31.1467,218.7426,0.116,1.0572,0.7957,1.5435,1.7217,2.1881,6.1556,3,1.075,True,True,raw,HYDROSHIP-M5-A
shallow/qr_A_m4_shallow_009.png,shallow,0.25,4,116,9,A,HYDROSHIP-M5-A,backscatter|blur|color|ripple,0.6445,1.0154,0.9764,29.1963,212.112,0.1264,1.0788,0.7902,1.4011,1.8956,5.2526,3.3394,3,1.0908,True,True,raw,HYDROSHIP-M5-A
